ANI	Length	Mapped Proportion	Mean Absolute Error	Mean Bias	Standard Error	Mean Length
90	50	152/1000	0.775%	-0.221%	0.118%	47
90	100	631/1000	1.358%	-0.211%	0.071%	75
90	150	825/1000	1.370%	0.026%	0.062%	110
90	200	861/1000	1.249%	0.350%	0.054%	155
90	250	902/1000	1.274%	0.473%	0.052%	198
90	300	918/1000	1.162%	0.424%	0.047%	242
90	350	951/1000	1.189%	0.522%	0.046%	283
90	400	957/1000	1.134%	0.543%	0.044%	329
90	450	962/1000	1.069%	0.583%	0.040%	370
90	500	962/1000	1.065%	0.608%	0.039%	415
90	550	979/1000	1.049%	0.635%	0.037%	454
90	600	976/1000	1.016%	0.647%	0.035%	502
90	650	983/1000	1.015%	0.679%	0.035%	542
90	700	986/1000	0.992%	0.658%	0.033%	580
90	750	987/1000	0.979%	0.663%	0.033%	627
90	800	994/1000	0.962%	0.673%	0.032%	664
90	850	994/1000	0.949%	0.684%	0.031%	700
90	900	999/1000	0.950%	0.682%	0.030%	744
90	950	997/1000	0.944%	0.689%	0.030%	783
90	1000	996/1000	0.942%	0.719%	0.029%	814
90	1050	998/1000	0.937%	0.740%	0.028%	861
90	1100	999/1000	0.908%	0.709%	0.028%	899
90	1150	1000/1000	0.913%	0.730%	0.027%	932
90	1200	999/1000	0.915%	0.729%	0.027%	965
90	1250	999/1000	0.904%	0.718%	0.027%	1004
90	1300	999/1000	0.905%	0.735%	0.026%	1035
90	1350	1000/1000	0.912%	0.745%	0.026%	1067
90	1400	999/1000	0.872%	0.718%	0.025%	1117
90	1450	998/1000	0.899%	0.764%	0.025%	1144
90	1500	1000/1000	0.891%	0.745%	0.026%	1167
90	1550	999/1000	0.859%	0.745%	0.024%	1218
90	1600	999/1000	0.865%	0.737%	0.024%	1251
90	1650	999/1000	0.897%	0.754%	0.025%	1259
90	1700	1000/1000	0.881%	0.758%	0.023%	1328
90	1750	999/1000	0.896%	0.772%	0.024%	1357
90	1800	999/1000	0.856%	0.750%	0.022%	1384
90	1850	1000/1000	0.870%	0.760%	0.022%	1409
90	1900	1000/1000	0.869%	0.765%	0.023%	1435
90	1950	1000/1000	0.866%	0.768%	0.022%	1469
90	2000	1000/1000	0.869%	0.776%	0.022%	1517
91	50	201/1000	1.071%	-0.555%	0.120%	47
